Research_ID,Combined_Group,Source_Group_ID,Canonical_English_Text,True_Label,Predicted_Label,Fold,prob_Administrative___Procedural___Integrity,prob_Lease_Revenue___Payment___Enforcement,prob_Protected___Environmental_Lease_Misuse,prob_Unauthorized_Allocation___Transfer___Use
WEB-073,CG-WEB-073,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2021/provincial_council/5-II/Southern-PC-E.pdf,"The Auditor General reported that government land provided by the Akuressa Divisional Secretariat to the Akuressa Multi-Purpose Cooperative Society under long-term lease No. L/2940 had been leased until 11 January 1995. After the lease ended, the land continued to be occupied without a long-term lease agreement and without paying rent for about 26 years. Long-term rent due for 1995 to 2009 alone was reported as Rs. 5.23 million.",Unauthorized Allocation / Transfer / Use,Lease Revenue / Payment / Enforcement,4,0.2564,0.4082,0.1392,0.1962
WEB-074,CG-WEB-074,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2019/mindept_19/1_12/Head286DepartmentofCommissionerGeneralofLandE.pdf,"The Auditor General reported that 0.238 hectares of government land in the Gangawata Korale Divisional Secretariat Division, Kandy, was granted to a private company on a 30-year long-term lease in 2006 for a resort. The same lessee had occupied the land unlawfully from 1995 to 2006, and the Government Valuer assessed lost revenue of Rs. 6,932,500 for that period.",Unauthorized Allocation / Transfer / Use,Lease Revenue / Payment / Enforcement,5,0.2545,0.3121,0.1494,0.284
WEB-080,CG-STATE-LEASE-029,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2017/State_Corp/Land-Reform-Commission---E.pdf,"The Auditor General reported that 2 roods and 16 perches of Rathwetiya Estate, including a tea factory building, had been leased to the Sangaruwanketha Milk Producers' Cooperative Society Limited in May 1997 by deviating from the normal leasing procedure. No lease rent had been paid for about 15 years, arrears and surcharges had reached Rs. 4,596,800 by May 2016, and no action had been taken to cancel the lease agreement or otherwise enforce it.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,2,0.2479,0.4251,0.1342,0.1929
WEB-098,CG-WEB-098,WEB-GRP-098,A urban development land in Kalutara was allegedly leased without obtaining a required approval or completing the prescribed competitive selection process.,Administrative / Procedural / Integrity,Unauthorized Allocation / Transfer / Use,5,0.2768,0.1838,0.2177,0.3217
WEB-100,CG-WEB-100,WEB-GRP-100,A complaint states that a long-term lease was issued before the required valuation and formal approval steps were completed.,Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,3,0.2484,0.2947,0.2083,0.2487
WEB-131,CG-WEB-131,WEB-GRP-131,A third party was reportedly allowed to occupy leased state land under a private subletting arrangement not authorized by the urban development authority. The matter was raised as a governance concern requiring documentary verification.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,3,0.1776,0.1783,0.3376,0.3066
WEB-138,CG-WEB-134,WEB-GRP-138,The lessee reportedly attempted to sell or assign the state-land lease to a third party without the required consent. The matter was raised as a governance concern requiring documentary verification.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,2,0.1428,0.1557,0.4364,0.2651
WEB-147,CG-WEB-147,WEB-GRP-147,The lessee allegedly expanded occupation beyond the surveyed lease boundary onto adjoining government land.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,3,0.1687,0.1935,0.3529,0.2849
WEB-148,CG-WEB-148,WEB-GRP-148,A complaint states that structures and fencing extended outside the approved lease area onto additional state land.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,4,0.2285,0.1656,0.3905,0.2154
WEB-150,CG-WEB-150,WEB-GRP-150,The user of the leasehold allegedly incorporated neighbouring government land into the site without authorization.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,2,0.1573,0.1638,0.4285,0.2503
WEB-151,CG-WEB-147,WEB-GRP-151,The lessee allegedly expanded occupation beyond the surveyed lease boundary onto adjoining government land. The file reportedly contained no documented approval for the deviation.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,3,0.1504,0.158,0.3617,0.3298
WEB-155,CG-WEB-155,WEB-GRP-155,The leased land was allegedly used by an unrelated party without an authorized transfer or sublease.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,3,0.2205,0.171,0.3086,0.2999
WEB-157,CG-WEB-157,WEB-GRP-157,Permanent structures were allegedly built on the leased government land without the approvals required under the lease conditions.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,5,0.2356,0.2121,0.2796,0.2726
WEB-158,CG-WEB-158,WEB-GRP-158,The lessee reportedly carried out major development beyond the approved plan for the state property.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,2,0.156,0.1743,0.354,0.3156
WEB-159,CG-WEB-159,WEB-GRP-159,Construction allegedly commenced before development permission and lease-condition clearance were obtained.,Unauthorized Allocation / Transfer / Use,Administrative / Procedural / Integrity,2,0.2741,0.1965,0.2684,0.2611
WEB-161,CG-WEB-157,WEB-GRP-161,Permanent structures were allegedly built on the leased government land without the approvals required under the lease conditions. The file reportedly contained no documented approval for the deviation.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,5,0.1768,0.1609,0.3426,0.3197
WEB-177,CG-WEB-177,WEB-GRP-177,"The lessee allegedly extracted soil, sand, stone, or other material from the state land without authorization under the lease.",Protected / Environmental Lease Misuse,Unauthorized Allocation / Transfer / Use,4,0.1986,0.1785,0.2407,0.3822
WEB-178,CG-WEB-178,WEB-GRP-178,A land parcel leased for another purpose was reportedly used for quarrying or material extraction without the required permit.,Protected / Environmental Lease Misuse,Unauthorized Allocation / Transfer / Use,4,0.2015,0.1765,0.2497,0.3723
WEB-181,CG-WEB-177,WEB-GRP-181,"The lessee allegedly extracted soil, sand, stone, or other material from the state land without authorization under the lease. The file reportedly contained no documented approval for the deviation.",Protected / Environmental Lease Misuse,Unauthorized Allocation / Transfer / Use,4,0.1461,0.1136,0.2534,0.4868
WEB-182,CG-WEB-178,WEB-GRP-182,A land parcel leased for another purpose was reportedly used for quarrying or material extraction without the required permit. The matter was raised as a governance concern requiring documentary verification.,Protected / Environmental Lease Misuse,Unauthorized Allocation / Transfer / Use,4,0.1425,0.1291,0.3551,0.3734
WEB-198,CG-WEB-198,WEB-GRP-198,The lessee allegedly used part of the state property for hazardous or polluting activity that had not been approved.,Protected / Environmental Lease Misuse,Unauthorized Allocation / Transfer / Use,1,0.1303,0.1611,0.2636,0.445
