Research_ID,True_Label,Was_Changed_By_Cleaning,Phrases_Found_Count,Original_Text,Cleaned_Text,Arm_A_Predicted,Arm_B_Predicted,Arm_A_Correct,Arm_B_Correct,Cleaning_Helped,Cleaning_Hurt
STATE-LEASE-022,Unauthorized Allocation / Transfer / Use,False,0,Allegation that valuable municipal land was leased at a very low rent to a private commercial complex.,Allegation that valuable municipal land was leased at a very low rent to a private commercial complex.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,True,True,False,False
STATE-LEASE-023,Protected / Environmental Lease Misuse,False,0,Allegation that archaeological-reserve land was occupied on the stated basis of agricultural use.,Allegation that archaeological-reserve land was occupied on the stated basis of agricultural use.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,False,False,False,False
STATE-LEASE-024,Unauthorized Allocation / Transfer / Use,False,0,Allegation that state land reserved for pilgrim accommodation was leased to private traders.,Allegation that state land reserved for pilgrim accommodation was leased to private traders.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,True,True,False,False
STATE-LEASE-025,Protected / Environmental Lease Misuse,False,0,Allegation that riverbank state land was improperly leased through a local authority for sand-storage activities.,Allegation that riverbank state land was improperly leased through a local authority for sand-storage activities.,Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,True,True,False,False
STATE-LEASE-026,Unauthorized Allocation / Transfer / Use,False,0,"Allegation that state land within a sacred-area boundary was leased, under political influence, for unauthorized commercial stalls.","Allegation that state land within a sacred-area boundary was leased, under political influence, for unauthorized commercial stalls.",Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,False,False,False,False
STATE-LEASE-027,Administrative / Procedural / Integrity,False,0,"COPE reported that the 6-acre UDA land was leased for 99 years in 2019 without Board approval, and that additional conditions not approved by the Board were included in the lease agreement.","COPE reported that the 6-acre UDA land was leased for 99 years in 2019 without Board approval, and that additional conditions not approved by the Board were included in the lease agreement.",Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,True,True,False,False
STATE-LEASE-028,Administrative / Procedural / Integrity,False,0,COPE reported a government loss of Rs. 330 million from leasing UDA land bordering D. R. Wijewardena Mawatha without formal Board approval.,COPE reported a government loss of Rs. 330 million from leasing UDA land bordering D. R. Wijewardena Mawatha without formal Board approval.,Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,True,True,False,False
STATE-LEASE-029,Unauthorized Allocation / Transfer / Use,False,0,"Audit reported that land enjoyment was transferred in 2003 outside the normal leasing procedure, later passed to another company without Commission approval; arrears, a released surcharge, and a questionable reduction in assessed lease value were also recorded.","Audit reported that land enjoyment was transferred in 2003 outside the normal leasing procedure, later passed to another company without Commission approval; arrears, a released surcharge, and a questionable reduction in assessed lease value were also recorded.",Lease Revenue / Payment / Enforcement,Lease Revenue / Payment / Enforcement,False,False,False,False
STATE-LEASE-030,Lease Revenue / Payment / Enforcement,False,0,"Audit found that lease agreements had not been signed for land leased to four institutions, lease receivables from 2008 had not been collected, and the receivable could not be computed without agreements.","Audit found that lease agreements had not been signed for land leased to four institutions, lease receivables from 2008 had not been collected, and the receivable could not be computed without agreements.",Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,False,False,False,False
STATE-LEASE-031,Lease Revenue / Payment / Enforcement,False,0,"Audit reported that multiple land plots had been used by a company without any amount recovered from Rs. 32,475,109 in lease rent due as at 31 December 2022, and no lease agreement had been entered into.","Audit reported that multiple land plots had been used by a company without any amount recovered from Rs. 32,475,109 in lease rent due as at 31 December 2022, and no lease agreement had been entered into.",Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,False,False,False,False
STATE-LEASE-032,Lease Revenue / Payment / Enforcement,False,0,"Audit reported that 10 acres approved for tea cultivation had no lease rent paid since 2011, no formal agreement, and Rs. 1,824,000 outstanding as at the end of 2022.","Audit reported that 10 acres approved for tea cultivation had no lease rent paid since 2011, no formal agreement, and Rs. 1,824,000 outstanding as at the end of 2022.",Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,False,False,False,False
STATE-LEASE-033,Unauthorized Allocation / Transfer / Use,False,0,"Audit reported that a private party had informally used leased land from 2008 without approval, agreement or payment, with Rs. 18,403,926 recorded as rent due through 2023.","Audit reported that a private party had informally used leased land from 2008 without approval, agreement or payment, with Rs. 18,403,926 recorded as rent due through 2023.",Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,True,True,False,False
STATE-LEASE-034,Lease Revenue / Payment / Enforcement,False,0,"Audit reported Rs. 5.59 million in lease rent receivable 13 years after a lease for a rocky land plot, with the intended activity not completed and enforcement action delayed.","Audit reported Rs. 5.59 million in lease rent receivable 13 years after a lease for a rocky land plot, with the intended activity not completed and enforcement action delayed.",Lease Revenue / Payment / Enforcement,Lease Revenue / Payment / Enforcement,True,True,False,False
STATE-LEASE-035,Lease Revenue / Payment / Enforcement,False,0,"Audit reported that a 30-year residential lease granted in June 2012 had received no lease payments after 11 years, with Rs. 216,960 due.","Audit reported that a 30-year residential lease granted in June 2012 had received no lease payments after 11 years, with Rs. 216,960 due.",Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,False,False,False,False
STATE-LEASE-036,Lease Revenue / Payment / Enforcement,False,0,"Audit reported that a commercial lease running from 2004 had accumulated Rs. 1,069,140 in unpaid lease amounts through 31 December 2023.","Audit reported that a commercial lease running from 2004 had accumulated Rs. 1,069,140 in unpaid lease amounts through 31 December 2023.",Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,False,False,False,False
STATE-LEASE-037,Administrative / Procedural / Integrity,False,0,A UDA land parcel approved for a 99-year mixed-development lease was later set for a fresh procurement process after the selected investor failed to meet transfer conditions and the earlier lease process was cancelled.,A UDA land parcel approved for a 99-year mixed-development lease was later set for a fresh procurement process after the selected investor failed to meet transfer conditions and the earlier lease process was cancelled.,Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,True,True,False,False
STATE-LEASE-038,Lease Revenue / Payment / Enforcement,False,0,"The Otters Aquatic Club occupied government land in Colombo 07 under a lease that expired, while lease arrears of about Rs. 31 million were reported. The Divisional Secretary issued eviction/vacate directions after the arrears were not fully settled and the lease was not renewed.","The Otters Aquatic Club occupied government land in Colombo 07 under a lease that expired, while lease arrears of about Rs. 31 million were reported. The Divisional Secretary issued eviction/vacate directions after the arrears were not fully settled and the lease was not renewed.",Lease Revenue / Payment / Enforcement,Lease Revenue / Payment / Enforcement,True,True,False,False
STATE-LEASE-039,Lease Revenue / Payment / Enforcement,False,0,"The Government took over the land and building occupied by the 80 Club at Independence Avenue, Colombo 07 after reported violations including non-payment of lease arrears. The Thimbirigasyaya Divisional Secretary stated that the property was government-owned and was taken back in November 2020.","The Government took over the land and building occupied by the 80 Club at Independence Avenue, Colombo 07 after reported violations including non-payment of lease arrears. The Thimbirigasyaya Divisional Secretary stated that the property was government-owned and was taken back in November 2020.",Lease Revenue / Payment / Enforcement,Lease Revenue / Payment / Enforcement,True,True,False,False
STATE-LEASE-040,Protected / Environmental Lease Misuse,False,0,"Public reporting documented allegations that government forest land in the Wandama–Demaliya–Kuda Oya area was leased by an official attached to the Buttala Divisional Secretariat to companies and businessmen despite the land's forest/protected character, prompting government and parliamentary scrutiny.","Public reporting documented allegations that government forest land in the Wandama–Demaliya–Kuda Oya area was leased by an official attached to the Buttala Divisional Secretariat to companies and businessmen despite the land's forest/protected character, prompting government and parliamentary scrutiny.",Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,True,True,False,False
STATE-LEASE-041,Administrative / Procedural / Integrity,False,0,"The Auditor General reported that Sri Lanka Railways owns the land rights of nine CPSTL sub-depots. The lease agreement for those lands expired on 31 December 2013, but CPSTL continued using them without renewing the agreement or entering into a new lease agreement.","The Auditor General reported that Sri Lanka Railways owns the land rights of nine CPSTL sub-depots. The lease agreement for those lands expired on 31 December 2013, but CPSTL continued using them without renewing the agreement or entering into a new lease agreement.",Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,True,True,False,False
STATE-LEASE-042,Administrative / Procedural / Integrity,False,0,"The Auditor General reported that SLTDA had received 2,056.73 acres across 12 Kalpitiya islands as free grants for tourism, of which 668.69 acres in 10 islands had been leased to seven companies during 2010, 2011, 2020 and 2022; none of those companies had commenced operations by the end of the audit period.","The Auditor General reported that SLTDA had received 2,056.73 acres across 12 Kalpitiya islands as free grants for tourism, of which 668.69 acres in 10 islands had been leased to seven companies during 2010, 2011, 2020 and 2022; none of those companies had commenced operations by the end of the audit period.",Lease Revenue / Payment / Enforcement,Lease Revenue / Payment / Enforcement,False,False,False,False
STATE-LEASE-043,Administrative / Procedural / Integrity,False,0,"The Auditor General reported that 510.086 acres at Kuchchaveli had been taken over for tourism development. By 2020–2021, three companies had received leases totaling 49 acres, but only one of those three was operating by the end of the audit period; additional lease agreements and approvals were also in progress.","The Auditor General reported that 510.086 acres at Kuchchaveli had been taken over for tourism development. By 2020–2021, three companies had received leases totaling 49 acres, but only one of those three was operating by the end of the audit period; additional lease agreements and approvals were also in progress.",Lease Revenue / Payment / Enforcement,Lease Revenue / Payment / Enforcement,False,False,False,False
STATE-LEASE-044,Lease Revenue / Payment / Enforcement,True,3,"Glen Alpin Estate / Sri Kali Amman Kovil, Hali-Ela was identified in official audit/report material as a government/state land lease case involving lease rent non-payment / enforcement failure. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.","Glen Alpin Estate / Sri Kali Amman Kovil, Hali-Ela lease rent non-payment / enforcement failure.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,False,True,True,False
STATE-LEASE-045,Lease Revenue / Payment / Enforcement,True,3,"Kotagalawatta / Preethipura Children’s Orphanage, Mawanella was identified in official audit/report material as a government/state land lease case involving expired lease / arrears / continued occupation. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.","Kotagalawatta / Preethipura Children’s Orphanage, Mawanella expired lease / arrears / continued occupation.",Lease Revenue / Payment / Enforcement,Lease Revenue / Payment / Enforcement,True,True,False,False
STATE-LEASE-046,Lease Revenue / Payment / Enforcement,True,3,"Kirimuttiwatta, Batticaloa was identified in official audit/report material as a government/state land lease case involving lease non-performance / arrears / surrender issue. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.","Kirimuttiwatta, Batticaloa lease non-performance / arrears / surrender issue.",Protected / Environmental Lease Misuse,Lease Revenue / Payment / Enforcement,False,True,True,False
STATE-LEASE-047,Lease Revenue / Payment / Enforcement,True,3,"Akurambodawatta, Pallepola was identified in official audit/report material as a government/state land lease case involving lease arrears / revocation or disposal decision. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.","Akurambodawatta, Pallepola lease arrears / revocation or disposal decision.",Protected / Environmental Lease Misuse,Lease Revenue / Payment / Enforcement,False,True,True,False
STATE-LEASE-048,Lease Revenue / Payment / Enforcement,True,3,"Kalawilawatta, Kalutara was identified in official audit/report material as a government/state land lease case involving long-term lease arrears / weak enforcement. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.","Kalawilawatta, Kalutara long-term lease arrears / weak enforcement.",Protected / Environmental Lease Misuse,Lease Revenue / Payment / Enforcement,False,True,True,False
STATE-LEASE-049,Lease Revenue / Payment / Enforcement,True,3,"Gartland Estate, Kurunegala was identified in official audit/report material as a government/state land lease case involving lease-rent accounting / delayed recovery. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.","Gartland Estate, Kurunegala lease-rent accounting / delayed recovery.",Lease Revenue / Payment / Enforcement,Lease Revenue / Payment / Enforcement,True,True,False,False
STATE-LEASE-050,Lease Revenue / Payment / Enforcement,True,3,"Hawanilawatta was identified in official audit/report material as a government/state land lease case involving lease-rent accounting / delayed recovery. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Hawanilawatta lease-rent accounting / delayed recovery.,Lease Revenue / Payment / Enforcement,Lease Revenue / Payment / Enforcement,True,True,False,False
STATE-LEASE-051,Administrative / Procedural / Integrity,True,3,"Uranikadu, Pottuvil, Ampara was identified in official audit/report material as a government/state land lease case involving tourism lease administration / revenue recognition. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.","Uranikadu, Pottuvil, Ampara tourism lease administration / revenue recognition.",Protected / Environmental Lease Misuse,Administrative / Procedural / Integrity,False,True,True,False
STATE-LEASE-052,Lease Revenue / Payment / Enforcement,True,3,"Serapis Estate, Kurunegala was identified in official audit/report material as a government/state land lease case involving lease-rent understatement / recovery. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.","Serapis Estate, Kurunegala lease-rent understatement / recovery.",Lease Revenue / Payment / Enforcement,Lease Revenue / Payment / Enforcement,True,True,False,False
STATE-LEASE-053,Lease Revenue / Payment / Enforcement,True,3,"Jakotuwa Watta, Wellampitiya / Kolonnawa was identified in official audit/report material as a government/state land lease case involving lease valuation / recovery / litigation. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.","Jakotuwa Watta, Wellampitiya / Kolonnawa lease valuation / recovery / litigation.",Protected / Environmental Lease Misuse,Lease Revenue / Payment / Enforcement,False,True,True,False
STATE-LEASE-054,Administrative / Procedural / Integrity,True,3,"Monarakelewatta — 280 acres was identified in official audit/report material as a government/state land lease case involving lease without proper approval / failure to recover lease. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Monarakelewatta — 280 acres lease without proper approval / failure to recover lease.,Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,True,True,False,False
STATE-LEASE-055,Lease Revenue / Payment / Enforcement,True,3,"Maddey Gedharawatta, Kalutara — 50 acres was identified in official audit/report material as a government/state land lease case involving lease without cabinet approval / valuation-recovery issue. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.","Maddey Gedharawatta, Kalutara — 50 acres lease without cabinet approval / valuation-recovery issue.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,False,True,True,False
STATE-LEASE-056,Administrative / Procedural / Integrity,True,3,"Olabotuwa granite land was identified in official audit/report material as a government/state land lease case involving lease without formal agreement. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Olabotuwa granite land lease without formal agreement.,Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,True,True,False,False
STATE-LEASE-057,Administrative / Procedural / Integrity,True,3,"Yahalakelle granite land was identified in official audit/report material as a government/state land lease case involving lease without formal agreement. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Yahalakelle granite land lease without formal agreement.,Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,True,True,False,False
STATE-LEASE-058,Administrative / Procedural / Integrity,True,3,"Ingiriya granite land was identified in official audit/report material as a government/state land lease case involving lease without formal agreement. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Ingiriya granite land lease without formal agreement.,Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,True,True,False,False
STATE-LEASE-059,Administrative / Procedural / Integrity,True,3,"Puttalam prawn-cultivation lands — 173 acres was identified in official audit/report material as a government/state land lease case involving lease granted without proper permission. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Puttalam prawn-cultivation lands — 173 acres lease granted without proper permission.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,False,False,False,False
STATE-LEASE-060,Administrative / Procedural / Integrity,True,3,"Bollachchadeniya / Sri Lanka Cricket Institute lease was identified in official audit/report material as a government/state land lease case involving 30-year leasehold not completed / procedural failure. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Bollachchadeniya / Sri Lanka Cricket Institute lease 30-year leasehold not completed / procedural failure.,Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,True,True,False,False
STATE-LEASE-061,Lease Revenue / Payment / Enforcement,True,3,"Hasalaka parcel No. 549, Minipe was identified in official audit/report material as a government/state land lease case involving lease arrears / missing or incomplete leasehold action. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.","Hasalaka parcel No. 549, Minipe lease arrears / missing or incomplete leasehold action.",Protected / Environmental Lease Misuse,Lease Revenue / Payment / Enforcement,False,True,True,False
STATE-LEASE-062,Unauthorized Allocation / Transfer / Use,True,3,"Udatthawa village parcel No. 814, Minipe was identified in official audit/report material as a government/state land lease case involving sublease / arrears / enforcement. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.","Udatthawa village parcel No. 814, Minipe sublease / arrears / enforcement.",Protected / Environmental Lease Misuse,Lease Revenue / Payment / Enforcement,False,False,False,False
WEB-063,Administrative / Procedural / Integrity,False,0,"The Auditor General reported that the Transworks Square land in Colombo Fort was leased to a locally incorporated foreign private company through four agreements between 2013 and 2016 for Rs. 4,999.7 million for a mixed-development project. The project was expected to be completed by 2021, but by the end of 2024 only the structural framework for 60 of the planned 81 floors had been completed. An expected Rs. 1,290.04 million difference between the lease value and market value had not been recovered because the development project remained suspended.","The Auditor General reported that the Transworks Square land in Colombo Fort was leased to a locally incorporated foreign private company through four agreements between 2013 and 2016 for Rs. 4,999.7 million for a mixed-development project. The project was expected to be completed by 2021, but by the end of 2024 only the structural framework for 60 of the planned 81 floors had been completed. An expected Rs. 1,290.04 million difference between the lease value and market value had not been recovered because the development project remained suspended.",Lease Revenue / Payment / Enforcement,Lease Revenue / Payment / Enforcement,False,False,False,False
WEB-064,Administrative / Procedural / Integrity,False,0,"The Auditor General reported that land at Pitipana, Homagama was acquired on a thirty-year lease on 30 April 2014 for Rs. 4.08 million after UDA approval for a rehabilitation and treatment centre. The land had not been used for the approved purpose and remained idle for ten years, while action was still being taken to obtain the indenture of lease.","The Auditor General reported that land at Pitipana, Homagama was acquired on a thirty-year lease on 30 April 2014 for Rs. 4.08 million after UDA approval for a rehabilitation and treatment centre. The land had not been used for the approved purpose and remained idle for ten years, while action was still being taken to obtain the indenture of lease.",Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,True,True,False,False
WEB-065,Administrative / Procedural / Integrity,False,0,"The Auditor General reported that the Board of Investment allocated an 8-by-8-foot space from the service area next to the Kandy Industrial Park office building for a Bank of Ceylon generator room without entering into an agreement. As a result, rent had not been determined or charged for the allocated space.","The Auditor General reported that the Board of Investment allocated an 8-by-8-foot space from the service area next to the Kandy Industrial Park office building for a Bank of Ceylon generator room without entering into an agreement. As a result, rent had not been determined or charged for the allocated space.",Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,True,True,False,False
WEB-066,Lease Revenue / Payment / Enforcement,False,0,"The Auditor General reported that the Board of Investment leased 16 acres in the Katunayake Export Processing Zone to the Free Trade Zone Sports Association under an agreement dated 27 September 1988. The rent remained Rs. 200 per acre per year until September 2018, and the Board proposed an increase to Rs. 1,000 per acre for 30 years without obtaining an independent valuer's report. The Board had also spent Rs. 2.5 million to rehabilitate the ground while earning only Rs. 16,000 per year from the land.","The Auditor General reported that the Board of Investment leased 16 acres in the Katunayake Export Processing Zone to the Free Trade Zone Sports Association under an agreement dated 27 September 1988. The rent remained Rs. 200 per acre per year until September 2018, and the Board proposed an increase to Rs. 1,000 per acre for 30 years without obtaining an independent valuer's report. The Board had also spent Rs. 2.5 million to rehabilitate the ground while earning only Rs. 16,000 per year from the land.",Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,False,False,False,False
WEB-067,Administrative / Procedural / Integrity,False,0,"The Auditor General reported that a Battaramulla land parcel provided for the Water Resources Board had an annual government-assessed rent of Rs. 2.7 million, but a formal lease agreement with the Urban Development Authority had still not been signed. The Board had paid about Rs. 27.97 million in rent from 2016 to the end of 2024 and had sub-leased the land to the Sri Lanka Bureau of Foreign Employment from August 2023 at a monthly rent of Rs. 460,000.","The Auditor General reported that a Battaramulla land parcel provided for the Water Resources Board had an annual government-assessed rent of Rs. 2.7 million, but a formal lease agreement with the Urban Development Authority had still not been signed. The Board had paid about Rs. 27.97 million in rent from 2016 to the end of 2024 and had sub-leased the land to the Sri Lanka Bureau of Foreign Employment from August 2023 at a monthly rent of Rs. 460,000.",Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,True,True,False,False
WEB-068,Administrative / Procedural / Integrity,False,0,"The Auditor General reported that the Chamber of Construction Industry obtained 30 perches of land from the Urban Development Authority under a 30-year lease agreement signed on 29 December 2021 at an annual rent of Rs. 1.68 million. The lease required a new secretariat building to be constructed within two years, but construction had not commenced by 31 May 2023.","The Auditor General reported that the Chamber of Construction Industry obtained 30 perches of land from the Urban Development Authority under a 30-year lease agreement signed on 29 December 2021 at an annual rent of Rs. 1.68 million. The lease required a new secretariat building to be constructed within two years, but construction had not commenced by 31 May 2023.",Lease Revenue / Payment / Enforcement,Lease Revenue / Payment / Enforcement,False,False,False,False
