Research_ID,Canonical_English_Text,True_Label,Predicted_Label,Fold,Combined_Group,Gold_Label_Status,Narrative_Type,Candidate_Error_Type,Text_Evidence,Analysis_Note,Needs_Domain_Review,Reviewer_Decision,Reviewer_Notes,_Evidence_Status
STATE-LEASE-035,"Audit reported that a 30-year residential lease granted in June 2012 had received no lease payments after 11 years, with Rs. 216,960 due.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Clear category evidence but incorrect prediction,"received no lease payments after 11 years, with Rs. 216,960 due","Concise statement of lease payment non-recovery (Revenue), but model assigned probability across categories and predicted Admin.",No,,,verified
STATE-LEASE-036,"Audit reported that a commercial lease running from 2004 had accumulated Rs. 1,069,140 in unpaid lease amounts through 31 December 2023.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Clear category evidence but incorrect prediction,"accumulated Rs. 1,069,140 in unpaid lease amounts","Clear quantification of unpaid lease amounts (Revenue), mispredicted as Administrative by model.",No,,,verified
STATE-LEASE-042,"The Auditor General reported that SLTDA had received 2,056.73 acres across 12 Kalpitiya islands as free grants for tourism, of which 668.69 acres in 10 islands had been leased to seven companies during 2010, 2011, 2020 and 2022; none of those companies had commenced operations by the end of the audit period.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,1,CG-STATE-LEASE-042,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,"leased to seven companies during 2010, 2011, 2020 and 2022; none of those companies had commenced operations","Idle lease administration / non-implementation of tourism leases classified as Admin, but predicted as Revenue.",Yes,,,verified
STATE-LEASE-043,"The Auditor General reported that 510.086 acres at Kuchchaveli had been taken over for tourism development. By 2020–2021, three companies had received leases totaling 49 acres, but only one of those three was operating by the end of the audit period; additional lease agreements and approvals were also in progress.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,1,CG-STATE-LEASE-042,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,"three companies had received leases totaling 49 acres, but only one of those three was operating",Administrative delay in tourism lease operationalization predicted as Revenue due to lease-agreement terms.,Yes,,,verified
STATE-LEASE-044,"Glen Alpin Estate / Sri Kali Amman Kovil, Hali-Ela was identified in official audit/report material as a government/state land lease case involving lease rent non-payment / enforcement failure. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Shared generic or boilerplate wording,identified in official audit/report material as a government/state land lease case involving lease rent non-payment / enforcement failure,Standardized audit boilerplate in Fold 3 test group; model predicted Administrative rather than Revenue due to shared template tokens.,Yes,,,verified
STATE-LEASE-046,"Kirimuttiwatta, Batticaloa was identified in official audit/report material as a government/state land lease case involving lease non-performance / arrears / surrender issue. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Protected / Environmental Lease Misuse,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Shared generic or boilerplate wording,identified in official audit/report material as a government/state land lease case involving lease non-performance / arrears / surrender issue,Standardized boilerplate template; presence of model assigned highest probability to an incorrect class.,Yes,,,verified
STATE-LEASE-047,"Akurambodawatta, Pallepola was identified in official audit/report material as a government/state land lease case involving lease arrears / revocation or disposal decision. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Protected / Environmental Lease Misuse,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Shared generic or boilerplate wording,identified in official audit/report material as a government/state land lease case involving lease arrears / revocation or disposal decision,Boilerplate template in Fold 3; model assigned a different class probability over the correct class.,Yes,,,verified
STATE-LEASE-048,"Kalawilawatta, Kalutara was identified in official audit/report material as a government/state land lease case involving long-term lease arrears / weak enforcement. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Protected / Environmental Lease Misuse,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Shared generic or boilerplate wording,identified in official audit/report material as a government/state land lease case involving long-term lease arrears / weak enforcement,Boilerplate template in Fold 3; model assigned a different class probability over the correct class.,Yes,,,verified
STATE-LEASE-051,"Uranikadu, Pottuvil, Ampara was identified in official audit/report material as a government/state land lease case involving tourism lease administration / revenue recognition. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Administrative / Procedural / Integrity,Protected / Environmental Lease Misuse,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Shared generic or boilerplate wording,identified in official audit/report material as a government/state land lease case involving tourism lease administration / revenue recognition,Boilerplate template in Fold 3; the tourism-related context contributed to an incorrect class prediction.,Yes,,,verified
STATE-LEASE-053,"Jakotuwa Watta, Wellampitiya / Kolonnawa was identified in official audit/report material as a government/state land lease case involving lease valuation / recovery / litigation. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Protected / Environmental Lease Misuse,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Shared generic or boilerplate wording,identified in official audit/report material as a government/state land lease case involving lease valuation / recovery / litigation,"Boilerplate template in Fold 3; 'Jakotuwa Watta, Wellampitiya / Kolonnawa' led to Environmental prediction over Revenue.",Yes,,,verified
STATE-LEASE-055,"Maddey Gedharawatta, Kalutara — 50 acres was identified in official audit/report material as a government/state land lease case involving lease without cabinet approval / valuation-recovery issue. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,lease without cabinet approval / valuation-recovery issue,Involves procedural approval breach ('without cabinet approval') and financial recovery ('valuation-recovery').,Yes,,,verified
STATE-LEASE-059,"Puttalam prawn-cultivation lands — 173 acres was identified in official audit/report material as a government/state land lease case involving lease granted without proper permission. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Administrative / Procedural / Integrity,Unauthorized Allocation / Transfer / Use,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,lease granted without proper permission,Lack of proper leasing permission straddles Administrative procedural failure and Unauthorized Allocation.,Yes,,,verified
STATE-LEASE-061,"Hasalaka parcel No. 549, Minipe was identified in official audit/report material as a government/state land lease case involving lease arrears / missing or incomplete leasehold action. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Protected / Environmental Lease Misuse,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Shared generic or boilerplate wording,identified in official audit/report material as a government/state land lease case involving lease arrears / missing or incomplete leasehold action,Boilerplate template in Fold 3; the parcel identifier context contributed to an incorrect class prediction.,Yes,,,verified
STATE-LEASE-062,"Udatthawa village parcel No. 814, Minipe was identified in official audit/report material as a government/state land lease case involving sublease / arrears / enforcement. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Shared generic or boilerplate wording,identified in official audit/report material as a government/state land lease case involving sublease / arrears / enforcement,Boilerplate template in Fold 3 predicted an incorrect class despite explicit lease enforcement and sublease cues.,Yes,,,verified
WEB-063,"The Auditor General reported that the Transworks Square land in Colombo Fort was leased to a locally incorporated foreign private company through four agreements between 2013 and 2016 for Rs. 4,999.7 million for a mixed-development project. The project was expected to be completed by 2021, but by the end of 2024 only the structural framework for 60 of the planned 81 floors had been completed. An expected Rs. 1,290.04 million difference between the lease value and market value had not been recovered because the development project remained suspended.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,2,CG-WEB-063,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,"Rs. 1,290.04 million difference between the lease value and market value had not been recovered","Project suspension and agreement management categorized as Admin, but unrecovered financial loss strongly indicates Revenue.",Yes,,,verified
WEB-066,"The Auditor General reported that the Board of Investment leased 16 acres in the Katunayake Export Processing Zone to the Free Trade Zone Sports Association under an agreement dated 27 September 1988. The rent remained Rs. 200 per acre per year until September 2018, and the Board proposed an increase to Rs. 1,000 per acre for 30 years without obtaining an independent valuer's report. The Board had also spent Rs. 2.5 million to rehabilitate the ground while earning only Rs. 16,000 per year from the land.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,CG-WEB-065,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,without obtaining an independent valuer's report,Unfavourable lease rate and revenue loss (Revenue) accompanied by failure to obtain valuer's report (Admin).,Yes,,,verified
WEB-068,"The Auditor General reported that the Chamber of Construction Industry obtained 30 perches of land from the Urban Development Authority under a 30-year lease agreement signed on 29 December 2021 at an annual rent of Rs. 1.68 million. The lease required a new secretariat building to be constructed within two years, but construction had not commenced by 31 May 2023.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,1,CG-WEB-068,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,"annual rent of Rs. 1.68 million. The lease required a new secretariat building to be constructed within two years, but construction had not commenced","Breach of development covenant (Admin) includes detailed annual rent figures, triggering Revenue prediction.",Yes,,,verified
WEB-069,"The Auditor General reported that Waters Edge earned Rs. 10,719,033 in annual rent from LALA Park, but a lease agreement for the underlying land had not been signed with the lessor. Management stated that the arrangement was being negotiated with the parent company, the Urban Development Authority, to execute the land lease.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,1,CG-WEB-069,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,"earned Rs. 10,719,033 in annual rent from LALA Park, but a lease agreement for the underlying land had not been signed",Unsigned lease agreement (Admin) overlaps directly with substantial annual rental earnings and financial accounting.,Yes,,,verified
WEB-071,The Auditor General reported that about 29 acres and 10 perches of government land in the Manativ Grama Niladhari Division of the Puttalam Divisional Secretariat had been leased to a private company for 30 years from 29 June 1988. The company later sold the leased land to another private company on 11 June 2008 without approval from the Provincial Land Commissioner.,Unauthorized Allocation / Transfer / Use,Lease Revenue / Payment / Enforcement,4,CG-WEB-070,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Clear category evidence but incorrect prediction,sold the leased land to another private company on 11 June 2008 without approval from the Provincial Land Commissioner,"Explicit unapproved transfer/sale of leased land (Unauthorized Allocation), but model predicted Revenue due to lease tenure context.",No,,,verified
WEB-073,"The Auditor General reported that government land provided by the Akuressa Divisional Secretariat to the Akuressa Multi-Purpose Cooperative Society under long-term lease No. L/2940 had been leased until 11 January 1995. After the lease ended, the land continued to be occupied without a long-term lease agreement and without paying rent for about 26 years. Long-term rent due for 1995 to 2009 alone was reported as Rs. 5.23 million.",Unauthorized Allocation / Transfer / Use,Lease Revenue / Payment / Enforcement,4,CG-WEB-073,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,occupied without a long-term lease agreement and without paying rent for about 26 years. Long-term rent due for 1995 to 2009 alone was reported as Rs. 5.23 million,Case combines unauthorized continued occupation after lease expiry with 26 years of unpaid rent arrears (Rs. 5.23M).,Yes,,,verified
WEB-074,"The Auditor General reported that 0.238 hectares of government land in the Gangawata Korale Divisional Secretariat Division, Kandy, was granted to a private company on a 30-year long-term lease in 2006 for a resort. The same lessee had occupied the land unlawfully from 1995 to 2006, and the Government Valuer assessed lost revenue of Rs. 6,932,500 for that period.",Unauthorized Allocation / Transfer / Use,Lease Revenue / Payment / Enforcement,5,CG-WEB-074,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,"occupied the land unlawfully from 1995 to 2006, and the Government Valuer assessed lost revenue of Rs. 6,932,500",Unlawful occupation (Unauthorized) regularised retrospectively with quantified lost revenue assessment (Revenue).,Yes,,,verified
WEB-080,"The Auditor General reported that 2 roods and 16 perches of Rathwetiya Estate, including a tea factory building, had been leased to the Sangaruwanketha Milk Producers' Cooperative Society Limited in May 1997 by deviating from the normal leasing procedure. No lease rent had been paid for about 15 years, arrears and surcharges had reached Rs. 4,596,800 by May 2016, and no action had been taken to cancel the lease agreement or otherwise enforce it.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,2,CG-STATE-LEASE-029,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,"deviating from the normal leasing procedure. No lease rent had been paid for about 15 years, arrears and surcharges had reached Rs. 4,596,800",Procedural leasing deviation (Admin) coupled with 15 years of unpaid rent and enforcement inaction.,Yes,,,verified
WEB-098,A urban development land in Kalutara was allegedly leased without obtaining a required approval or completing the prescribed competitive selection process.,Administrative / Procedural / Integrity,Unauthorized Allocation / Transfer / Use,5,CG-WEB-098,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Multiple issues present / primary-label ambiguity,leased without obtaining a required approval or completing the prescribed competitive selection process,"Lack of competitive selection is an administrative procurement bypass, but leasing without approval overlaps with Unauthorized Allocation.",Yes,,,verified
WEB-100,A complaint states that a long-term lease was issued before the required valuation and formal approval steps were completed.,Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,3,CG-WEB-100,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Multiple issues present / primary-label ambiguity,issued before the required valuation and formal approval steps were completed,Failure to complete valuation (Revenue pre-requisite) and formal approval steps (Admin) creates boundary ambiguity.,Yes,,,verified
WEB-131,A third party was reportedly allowed to occupy leased state land under a private subletting arrangement not authorized by the urban development authority. The matter was raised as a governance concern requiring documentary verification.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,3,CG-WEB-131,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Clear category evidence but incorrect prediction,private subletting arrangement not authorized by the urban development authority,"Text contains unequivocal evidence of unauthorized subletting, but model mispredicted as Environmental Lease Misuse.",No,,,verified
WEB-138,The lessee reportedly attempted to sell or assign the state-land lease to a third party without the required consent. The matter was raised as a governance concern requiring documentary verification.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,2,CG-WEB-134,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Clear category evidence but incorrect prediction,attempted to sell or assign the state-land lease to a third party without the required consent,"Unambiguous unauthorized assignment/sale evidence present in text, but model predicted Environmental Lease Misuse.",No,,,verified
WEB-147,The lessee allegedly expanded occupation beyond the surveyed lease boundary onto adjoining government land.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,3,CG-WEB-147,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Multiple issues present / primary-label ambiguity,expanded occupation beyond the surveyed lease boundary onto adjoining government land,"Encroachment beyond surveyed boundary is Unauthorized Use, but shares terminology with reservation encroachment (Environmental).",Yes,,,verified
WEB-148,A complaint states that structures and fencing extended outside the approved lease area onto additional state land.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,4,CG-WEB-148,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Multiple issues present / primary-label ambiguity,structures and fencing extended outside the approved lease area onto additional state land,Physical fencing and structures extending beyond lease boundaries overlaps between boundary encroachment and environmental land misuse.,Yes,,,verified
WEB-150,The user of the leasehold allegedly incorporated neighbouring government land into the site without authorization.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,2,CG-WEB-150,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Multiple issues present / primary-label ambiguity,incorporated neighbouring government land into the site without authorization,Expanding lease occupation into adjacent government land straddles boundary violation and environmental buffer/reservation occupation.,Yes,,,verified
WEB-151,The lessee allegedly expanded occupation beyond the surveyed lease boundary onto adjoining government land. The file reportedly contained no documented approval for the deviation.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,3,CG-WEB-147,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Multiple issues present / primary-label ambiguity,expanded occupation beyond the surveyed lease boundary onto adjoining government land,Encroachment onto adjoining land combines boundary extension with procedural absence of documented approval.,Yes,,,verified
WEB-155,The leased land was allegedly used by an unrelated party without an authorized transfer or sublease.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,3,CG-WEB-155,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Clear category evidence but incorrect prediction,used by an unrelated party without an authorized transfer or sublease,"Unambiguous evidence of unauthorized third-party use and transfer, but model incorrectly predicted Environmental.",No,,,verified
WEB-157,Permanent structures were allegedly built on the leased government land without the approvals required under the lease conditions.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,5,CG-WEB-157,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Multiple issues present / primary-label ambiguity,Permanent structures were allegedly built on the leased government land without the approvals required,"Building permanent structures without approval breaches lease conditions (Unauthorized), but shares terminology with physical development on sensitive land (Environmental). In Arm B of Experiment 3, this record's prediction changed from 'Protected / Environmental Lease Misuse' to 'Unauthorized Allocation / Transfer / Use' (the correct label). The text of WEB-157 was not modified by boilerplate removal; the mechanism behind the prediction change was not directly measured.",Yes,,,verified
WEB-158,The lessee reportedly carried out major development beyond the approved plan for the state property.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,2,CG-WEB-158,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Multiple issues present / primary-label ambiguity,carried out major development beyond the approved plan,Unapproved development beyond planning limits overlaps Unauthorized Use and physical site modification (Environmental).,Yes,,,verified
WEB-159,Construction allegedly commenced before development permission and lease-condition clearance were obtained.,Unauthorized Allocation / Transfer / Use,Administrative / Procedural / Integrity,2,CG-WEB-159,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Multiple issues present / primary-label ambiguity,Construction allegedly commenced before development permission and lease-condition clearance were obtained,Premature construction is an unauthorized physical activity but specifically stems from procedural non-clearance (Admin).,Yes,,,verified
WEB-161,Permanent structures were allegedly built on the leased government land without the approvals required under the lease conditions. The file reportedly contained no documented approval for the deviation.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,5,CG-WEB-157,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Multiple issues present / primary-label ambiguity,Permanent structures were allegedly built on the leased government land without the approvals required under the lease conditions,Unapproved construction on state land combines unauthorized physical building with administrative lack of documentation.,Yes,,,verified
WEB-177,"The lessee allegedly extracted soil, sand, stone, or other material from the state land without authorization under the lease.",Protected / Environmental Lease Misuse,Unauthorized Allocation / Transfer / Use,4,CG-WEB-177,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Multiple issues present / primary-label ambiguity,"extracted soil, sand, stone, or other material from the state land without authorization under the lease","Resource extraction is an environmental impact, but phrased as an unauthorized activity under the lease, leading to Unauthorized prediction.",Yes,,,verified
WEB-178,A land parcel leased for another purpose was reportedly used for quarrying or material extraction without the required permit.,Protected / Environmental Lease Misuse,Unauthorized Allocation / Transfer / Use,4,CG-WEB-178,Commissioner-confirmed label (user-confirmed),Governance complaint narrative,Multiple issues present / primary-label ambiguity,used for quarrying or material extraction without the required permit,"Quarrying is environmental misuse, but lack of required permit triggers unauthorized activity patterns.",Yes,,,verified
