Research_ID,Canonical_English_Text,True_Label,Predicted_Label,Source_Group_ID,Fold,prob_Administrative___Procedural___Integrity,prob_Lease_Revenue___Payment___Enforcement,prob_Protected___Environmental_Lease_Misuse,prob_Unauthorized_Allocation___Transfer___Use
STATE-LEASE-042,"The Auditor General reported that SLTDA had received 2,056.73 acres across 12 Kalpitiya islands as free grants for tourism, of which 668.69 acres in 10 islands had been leased to seven companies during 2010, 2011, 2020 and 2022; none of those companies had commenced operations by the end of the audit period.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/State-Corporations/2-xix/Sri-Lanka-Tourism-Development-Authority--E.pdf,2,0.2757,0.3427,0.1946,0.187
STATE-LEASE-043,"The Auditor General reported that 510.086 acres at Kuchchaveli had been taken over for tourism development. By 2020–2021, three companies had received leases totaling 49 acres, but only one of those three was operating by the end of the audit period; additional lease agreements and approvals were also in progress.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/State-Corporations/2-xix/Sri-Lanka-Tourism-Development-Authority--E.pdf,2,0.2947,0.3249,0.2025,0.1779
STATE-LEASE-046,"Kirimuttiwatta, Batticaloa was identified in official audit/report material as a government/state land lease case involving lease non-performance / arrears / surrender issue. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2021/state_corporation/2-XXXIII/Land-Reform-Commission--E.pdf,3,0.4212,0.3979,0.0912,0.0897
STATE-LEASE-047,"Akurambodawatta, Pallepola was identified in official audit/report material as a government/state land lease case involving lease arrears / revocation or disposal decision. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2021/state_corporation/2-XXXIII/Land-Reform-Commission--E.pdf,3,0.4424,0.3857,0.0869,0.085
STATE-LEASE-051,"Uranikadu, Pottuvil, Ampara was identified in official audit/report material as a government/state land lease case involving tourism lease administration / revenue recognition. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2022/statecorperation/2-xxvi/Land-Reform-Commission--E.pdf,2,0.3392,0.4604,0.0926,0.1078
STATE-LEASE-054,"Monarakelewatta — 280 acres was identified in official audit/report material as a government/state land lease case involving lease without proper approval / failure to recover lease. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2019/state_corporation/2-xxi/Land-Reform-Commission---2019---E.pdf,5,0.3355,0.4971,0.0703,0.0971
STATE-LEASE-056,"Olabotuwa granite land was identified in official audit/report material as a government/state land lease case involving lease without formal agreement. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,https://www.sundaytimes.lk/191117/business-times/government-incurs-heavy-losses-in-state-land-lease-deals-377989.html,4,0.2312,0.5675,0.08,0.1213
STATE-LEASE-057,"Yahalakelle granite land was identified in official audit/report material as a government/state land lease case involving lease without formal agreement. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,https://www.sundaytimes.lk/191117/business-times/government-incurs-heavy-losses-in-state-land-lease-deals-377989.html,4,0.2312,0.5675,0.08,0.1213
STATE-LEASE-058,"Ingiriya granite land was identified in official audit/report material as a government/state land lease case involving lease without formal agreement. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,https://www.sundaytimes.lk/191117/business-times/government-incurs-heavy-losses-in-state-land-lease-deals-377989.html,4,0.2312,0.5675,0.08,0.1213
STATE-LEASE-059,"Puttalam prawn-cultivation lands — 173 acres was identified in official audit/report material as a government/state land lease case involving lease granted without proper permission. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,https://www.sundaytimes.lk/191117/business-times/government-incurs-heavy-losses-in-state-land-lease-deals-377989.html,4,0.2483,0.5178,0.0887,0.1452
STATE-LEASE-061,"Hasalaka parcel No. 549, Minipe was identified in official audit/report material as a government/state land lease case involving lease arrears / missing or incomplete leasehold action. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/min_dep/1-xi/Head286Land-Commissioner-Generals-DepartmentE.pdf,3,0.4221,0.3873,0.0972,0.0934
STATE-LEASE-062,"Udatthawa village parcel No. 814, Minipe was identified in official audit/report material as a government/state land lease case involving sublease / arrears / enforcement. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Unauthorized Allocation / Transfer / Use,Administrative / Procedural / Integrity,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/min_dep/1-xi/Head286Land-Commissioner-Generals-DepartmentE.pdf,3,0.4181,0.3909,0.0931,0.0978
WEB-063,"The Auditor General reported that the Transworks Square land in Colombo Fort was leased to a locally incorporated foreign private company through four agreements between 2013 and 2016 for Rs. 4,999.7 million for a mixed-development project. The project was expected to be completed by 2021, but by the end of 2024 only the structural framework for 60 of the planned 81 floors had been completed. An expected Rs. 1,290.04 million difference between the lease value and market value had not been recovered because the development project remained suspended.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2024/Annual_Report/Annual-Report-2024-English-Web_compressed.pdf,1,0.2846,0.2945,0.1935,0.2274
WEB-066,"The Auditor General reported that the Board of Investment leased 16 acres in the Katunayake Export Processing Zone to the Free Trade Zone Sports Association under an agreement dated 27 September 1988. The rent remained Rs. 200 per acre per year until September 2018, and the Board proposed an increase to Rs. 1,000 per acre for 30 years without obtaining an independent valuer's report. The Board had also spent Rs. 2.5 million to rehabilitate the ground while earning only Rs. 16,000 per year from the land.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/State-Corporations/2-XXXIV/Board-of-Investment-of-Sri-Lanka--E.pdf,1,0.3507,0.2803,0.1611,0.2079
WEB-068,"The Auditor General reported that the Chamber of Construction Industry obtained 30 perches of land from the Urban Development Authority under a 30-year lease agreement signed on 29 December 2021 at an annual rent of Rs. 1.68 million. The lease required a new secretariat building to be constructed within two years, but construction had not commenced by 31 May 2023.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2022/statecorperation/2-xxvi/Chamber-of-Construction-Industry-of-Sri-Lanka--E.pdf,4,0.2996,0.3541,0.1343,0.212
WEB-069,"The Auditor General reported that Waters Edge earned Rs. 10,719,033 in annual rent from LALA Park, but a lease agreement for the underlying land had not been signed with the lessor. Management stated that the arrangement was being negotiated with the parent company, the Urban Development Authority, to execute the land lease.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2022/companies/9-XXXVII/Waters-Edge-Limited-and-its-subsidiaries--E.pdf,1,0.294,0.3084,0.1352,0.2624
WEB-071,The Auditor General reported that about 29 acres and 10 perches of government land in the Manativ Grama Niladhari Division of the Puttalam Divisional Secretariat had been leased to a private company for 30 years from 29 June 1988. The company later sold the leased land to another private company on 11 June 2008 without approval from the Provincial Land Commissioner.,Unauthorized Allocation / Transfer / Use,Lease Revenue / Payment / Enforcement,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/Provincial_Council/5-vi/North-Western-Provincial-CouncilE.pdf,5,0.2648,0.2964,0.1538,0.285
WEB-073,"The Auditor General reported that government land provided by the Akuressa Divisional Secretariat to the Akuressa Multi-Purpose Cooperative Society under long-term lease No. L/2940 had been leased until 11 January 1995. After the lease ended, the land continued to be occupied without a long-term lease agreement and without paying rent for about 26 years. Long-term rent due for 1995 to 2009 alone was reported as Rs. 5.23 million.",Unauthorized Allocation / Transfer / Use,Lease Revenue / Payment / Enforcement,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2021/provincial_council/5-II/Southern-PC-E.pdf,2,0.2727,0.4196,0.1517,0.156
WEB-074,"The Auditor General reported that 0.238 hectares of government land in the Gangawata Korale Divisional Secretariat Division, Kandy, was granted to a private company on a 30-year long-term lease in 2006 for a resort. The same lessee had occupied the land unlawfully from 1995 to 2006, and the Government Valuer assessed lost revenue of Rs. 6,932,500 for that period.",Unauthorized Allocation / Transfer / Use,Lease Revenue / Payment / Enforcement,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2019/mindept_19/1_12/Head286DepartmentofCommissionerGeneralofLandE.pdf,2,0.2444,0.3659,0.1655,0.2242
WEB-080,"The Auditor General reported that 2 roods and 16 perches of Rathwetiya Estate, including a tea factory building, had been leased to the Sangaruwanketha Milk Producers' Cooperative Society Limited in May 1997 by deviating from the normal leasing procedure. No lease rent had been paid for about 15 years, arrears and surcharges had reached Rs. 4,596,800 by May 2016, and no action had been taken to cancel the lease agreement or otherwise enforce it.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2017/State_Corp/Land-Reform-Commission---E.pdf,4,0.2447,0.4442,0.1349,0.1762
WEB-098,A urban development land in Kalutara was allegedly leased without obtaining a required approval or completing the prescribed competitive selection process.,Administrative / Procedural / Integrity,Unauthorized Allocation / Transfer / Use,WEB-GRP-098,1,0.2754,0.1754,0.2154,0.3338
WEB-100,A complaint states that a long-term lease was issued before the required valuation and formal approval steps were completed.,Administrative / Procedural / Integrity,Unauthorized Allocation / Transfer / Use,WEB-GRP-100,3,0.2527,0.2383,0.2088,0.3002
WEB-117,The institution reportedly allowed possession of the land before full payment of the required lease premium.,Lease Revenue / Payment / Enforcement,Unauthorized Allocation / Transfer / Use,WEB-GRP-117,4,0.2329,0.2749,0.1981,0.294
WEB-131,A third party was reportedly allowed to occupy leased state land under a private subletting arrangement not authorized by the urban development authority. The matter was raised as a governance concern requiring documentary verification.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,WEB-GRP-131,5,0.1608,0.1617,0.3607,0.3169
WEB-138,The lessee reportedly attempted to sell or assign the state-land lease to a third party without the required consent. The matter was raised as a governance concern requiring documentary verification.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,WEB-GRP-138,1,0.1489,0.1753,0.413,0.2629
WEB-139,A complaint alleges that control of the leased property changed hands through a private agreement not recognized by the lessor. The allegation should be checked against the lease agreement and official file history.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,WEB-GRP-139,2,0.261,0.162,0.3023,0.2746
WEB-145,A state land parcel granted for one approved purpose was reportedly used for a different business activity without formal authorization. The matter was raised as a governance concern requiring documentary verification.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,WEB-GRP-145,4,0.1395,0.1314,0.3785,0.3506
WEB-148,A complaint states that structures and fencing extended outside the approved lease area onto additional state land.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,WEB-GRP-148,1,0.2179,0.1469,0.4508,0.1844
WEB-150,The user of the leasehold allegedly incorporated neighbouring government land into the site without authorization.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,WEB-GRP-150,4,0.2049,0.1811,0.3557,0.2583
WEB-154,A complaint states that the beneficiary named in the lease was no longer the actual operator occupying the property.,Unauthorized Allocation / Transfer / Use,Administrative / Procedural / Integrity,WEB-GRP-154,5,0.2944,0.2174,0.232,0.2562
WEB-158,The lessee reportedly carried out major development beyond the approved plan for the state property.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,WEB-GRP-158,1,0.1389,0.1765,0.352,0.3326
WEB-159,Construction allegedly commenced before development permission and lease-condition clearance were obtained.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,WEB-GRP-159,2,0.2586,0.2019,0.2728,0.2668
WEB-160,A complaint states that additional buildings were erected on the leasehold without formal consent from the responsible authority.,Unauthorized Allocation / Transfer / Use,Administrative / Procedural / Integrity,WEB-GRP-160,5,0.3083,0.1697,0.2314,0.2906
WEB-163,The lessee reportedly occupied land beyond the lease boundary within an environmentally protected zone.,Protected / Environmental Lease Misuse,Unauthorized Allocation / Transfer / Use,WEB-GRP-163,4,0.2091,0.2006,0.2871,0.3032
WEB-198,The lessee allegedly used part of the state property for hazardous or polluting activity that had not been approved.,Protected / Environmental Lease Misuse,Unauthorized Allocation / Transfer / Use,WEB-GRP-198,4,0.1333,0.1435,0.2451,0.4781
